worknum	worknum_society	e_title	c_title	artist_name	isrc
1004451255	104	BUKAN MILIKMU		MYTHA	
1004224191	104	CHUTTI CHUTTI		CHINNA GOUNDER - MOVIE	
1004824015	104	SESUATU YANG BERBEZA		SOFAZ	
1004823960	104	KAALAI NERA RAAGAME		RAASAVE UNNAI NAMBI - MOVIE	
1004451955	104	DURGAI AMMA DURGAI AMMA		SUNDER	
1004053130	104	SIFU DAN TONGGA		AZMEER	
