Channel,No,IDS,Fr_date,to_date,LINK
BERNAMA_,502,160,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/160.json
CGTN_HD,503,426,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/426.json
CNN_HD,511,336,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/336.json
BBC_WORLD_NEWS_HD,512,366,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/366.json
AL_JAZEERA_ENGLISH_HD,513,374,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/374.json
SKY_NEWS_HD,514,155,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/155.json
CNA_HD,515,295,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/295.json
CNBC_ASIA_HD,516,423,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/423.json
BLOOMBERG_TV_HD,517,422,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/422.json
ABC_AUSTRALIA_HD,518,461,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/461.json
DISCOVERY_CHANNEL_HD,552,376,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/376.json
DISCOVERY_ASIA_HD,553,136,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/136.json
BBC_EARTH,554,452,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/452.json
HISTORY_HD,555,144,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/144.json
ANIMAL_PLANET_HD,556,377,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/377.json
ASTRO_TUTOR_TV,603,411,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/411.json
ASTRO_CERIA_HD,611,386,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/386.json
CARTOON_NETWORK_HD,615,371,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/371.json
NICKELODEON_HD,616,370,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/370.json
NICK_JR,617,392,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/392.json
